beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Honey Dew,""Fuller's Brewery"",""Golden Ale"",5,35,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.25,""2015-09-11 22:02:47"",https://untappd.com/c/223857653,https://untappd.com/beer/22286,https://untappd.com/brewery/3296,England,London,""Greater London"",,,Bottle,223857653,22286,3296,https://untappd.s3.amazonaws.com/photo/2015_09_11/3f33bd98e92c8ef021570b03474be8a3_raw.jpg,3.31,3.32,,0,0"
"Kvass Starazhytny (Квас Старажытны),""Krinitsa (Криница)"",Kvass,0.5,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.75,""2015-09-12 17:40:41"",https://untappd.com/c/224240736,https://untappd.com/beer/473056,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,,Bottle,224240736,473056,5860,,3.04,3.42,,0,0"
"Жытнёвы Спас,Гомельхлебпром,Kvass,1.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2015-09-13 19:48:43"",https://untappd.com/c/224887189,https://untappd.com/beer/762114,https://untappd.com/brewery/146932,Belarus,Гомель,,,,Bottle,224887189,762114,146932,,2.8,3.55,,0,0"
"Stella Artois,""Stella Artois"",""Lager - Euro Pale"",5,24,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3,""2015-09-13 22:24:50"",https://untappd.com/c/224962633,https://untappd.com/beer/4010,https://untappd.com/brewery/265,Belgium,Leuven,Vlaanderen,,,Bottle,224962633,4010,265,https://untappd.s3.amazonaws.com/photo/2015_09_13/7e501fb22b696f596ca16503659c88d9_raw.jpg,3.25,3.25,,0,0"
"Paulaner Hefe-Weißbier Dunkel,""Paulaner Brauerei"",Dunkelweizen,5.3,12,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.25,""2015-09-14 22:29:15"",https://untappd.com/c/225224270,https://untappd.com/beer/17458,https://untappd.com/brewery/972,Germany,Munich,Bayern,,,Bottle,225224270,17458,972,https://untappd.s3.amazonaws.com/photo/2015_09_14/3493050515bf05056edb5a3680667cf8_raw.jpg,3.56,3.56,,1,0"
"Hatni Sprauny (Хатнi Спрауны),""Бобруйский бровар"",Kvass,1.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4,""2015-09-15 21:06:55"",https://untappd.com/c/225402598,https://untappd.com/beer/700588,https://untappd.com/brewery/28932,Belarus,Babruysk,""Могилёвская область"",,,Bottle,225402598,700588,28932,,3.29,3.48,,0,0"
"Zlatý Bažant Radler Citrón,""Heineken Slovensko"",""Shandy / Radler"",2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4,""2015-09-17 22:13:06"",https://untappd.com/c/225848153,https://untappd.com/beer/53154,https://untappd.com/brewery/5721,Slovakia,Hurbanovo,,,,Bottle,225848153,53154,5721,https://untappd.s3.amazonaws.com/photo/2015_09_17/0778d88ef77b6121c41b11e26e31af84_raw.jpg,3.07,3.21,,0,0"
"Hatny Sa Smakam Zhuravin (Хатні Са Смакам Журавiн),""Бобруйский бровар"",Kvass,0,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.75,""2015-09-18 16:18:45"",https://untappd.com/c/226087057,https://untappd.com/beer/685088,https://untappd.com/brewery/28932,Belarus,Babruysk,""Могилёвская область"",,,Bottle,226087057,685088,28932,,3.1,3.59,,0,0"
"Löwenbräu Original,Spaten-Franziskaner-Löwenbräu-Gruppe,""Lager - Helles"",5.2,19,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2015-09-18 21:59:06"",https://untappd.com/c/226151668,https://untappd.com/beer/25914,https://untappd.com/brewery/1176,Germany,Munich,Bayern,,,Bottle,226151668,25914,1176,https://untappd.s3.amazonaws.com/photo/2015_09_18/3c3cf7da87d7bd8865e7591b80db75b6_raw.jpg,3.15,3.15,,0,0"
"Пузатич - Белорусский Тёмный,""ООО """"Маркетинг-Центр"""""",Kvass,1.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.75,""2015-09-20 18:15:02"",https://untappd.com/c/227180916,https://untappd.com/beer/1170592,https://untappd.com/brewery/215970,Belarus,,,,,Bottle,227180916,1170592,215970,,0,3.57,,0,0"
